city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Berlin,52.5200,13.4050,Germany,DE,Berlin,primary,4473101,3677472
Stuttgart,48.7775,9.1800,Germany,DE,Baden-Württemberg,admin,2787724,626275
Munich,48.1375,11.5750,Germany,DE,Bavaria,admin,2606021,1487708
Hamburg,53.5500,10.0000,Germany,DE,Hamburg,admin,2484800,1853935
Cologne,50.9364,6.9528,Germany,DE,North Rhine-Westphalia,,1083498,1073096
Frankfurt,50.1106,8.6822,Germany,DE,Hesse,minor,764104,759224
Düsseldorf,51.2333,6.7833,Germany,DE,North Rhine-Westphalia,admin,645923,619477
Leipzig,51.3400,12.3750,Germany,DE,Saxony,minor,615081,615081
Dortmund,51.5167,7.4667,Germany,DE,North Rhine-Westphalia,minor,587696,586852
Essen,51.4508,7.0131,Germany,DE,North Rhine-Westphalia,minor,582415,579432
Bremen,53.0833,8.8000,Germany,DE,Bremen,admin,566573,563290
Dresden,51.0500,13.7400,Germany,DE,Saxony,admin,561922,561922
Hannover,52.3667,9.7167,Germany,DE,Lower Saxony,admin,542668,535932
Nuremberg,49.4539,11.0775,Germany,DE,Bavaria,minor,515543,510632
Duisburg,51.4347,6.7625,Germany,DE,North Rhine-Westphalia,minor,495885,495152
Bochum,51.4819,7.2158,Germany,DE,North Rhine-Westphalia,minor,364454,363441
Wuppertal,51.2667,7.1833,Germany,DE,North Rhine-Westphalia,minor,355004,354572
Bielefeld,52.0211,8.5347,Germany,DE,North Rhine-Westphalia,minor,334002,334002
Bonn,50.7333,7.1000,Germany,DE,North Rhine-Westphalia,minor,331885,331885
Münster,51.9625,7.6256,Germany,DE,North Rhine-Westphalia,minor,317713,317713
Mannheim,49.4878,8.4661,Germany,DE,Baden-Württemberg,minor,311831,311831
Karlsruhe,49.0092,8.4040,Germany,DE,Baden-Württemberg,minor,308436,306502
Augsburg,48.3689,10.8978,Germany,DE,Bavaria,minor,296478,296478
Wiesbaden,50.0825,8.2400,Germany,DE,Hesse,admin,278950,278950
Mönchengladbach,51.2000,6.4333,Germany,DE,North Rhine-Westphalia,minor,261001,261001
Gelsenkirchen,51.5167,7.1000,Germany,DE,North Rhine-Westphalia,minor,260126,260126
Aachen,50.7756,6.0836,Germany,DE,North Rhine-Westphalia,minor,249070,249070
Braunschweig,52.2667,10.5167,Germany,DE,Lower Saxony,minor,248823,248823
Chemnitz,50.8333,12.9167,Germany,DE,Saxony,minor,248042,248042
Kiel,54.3233,10.1394,Germany,DE,Schleswig-Holstein,admin,246601,246243
Halle,51.4828,11.9697,Germany,DE,Saxony-Anhalt,minor,238061,238061
Magdeburg,52.1317,11.6392,Germany,DE,Saxony-Anhalt,admin,236188,236188
Freiburg im Breisgau,47.9950,7.8500,Germany,DE,Baden-Württemberg,minor,231848,231848
Krefeld,51.3333,6.5667,Germany,DE,North Rhine-Westphalia,minor,227050,227050
Mainz,49.9833,8.2667,Germany,DE,Rhineland-Palatinate,admin,217556,217556
Lübeck,53.8697,10.6864,Germany,DE,Schleswig-Holstein,minor,216277,216277
Erfurt,50.9833,11.0333,Germany,DE,Thuringia,admin,213835,213835
Oberhausen,51.4967,6.8706,Germany,DE,North Rhine-Westphalia,minor,209566,208752
Rostock,54.0833,12.1333,Germany,DE,Mecklenburg-Western Pomerania,,209061,208400
Kassel,51.3158,9.4979,Germany,DE,Hesse,minor,201048,200406
Hagen,51.3667,7.4833,Germany,DE,North Rhine-Westphalia,minor,188713,188713
Potsdam,52.4000,13.0667,Germany,DE,Brandenburg,admin,183154,183154
Saarbrücken,49.2333,7.0000,Germany,DE,Saarland,admin,179634,179634
Hamm,51.6833,7.8167,Germany,DE,North Rhine-Westphalia,minor,179238,179238
Ludwigshafen,49.4811,8.4353,Germany,DE,Rhineland-Palatinate,minor,172557,172145
Mülheim,51.4275,6.8825,Germany,DE,North Rhine-Westphalia,minor,170921,170739
Oldenburg,53.1439,8.2139,Germany,DE,Lower Saxony,minor,170389,170389
Osnabrück,52.2833,8.0500,Germany,DE,Lower Saxony,minor,165034,165034
Leverkusen,51.0333,6.9833,Germany,DE,North Rhine-Westphalia,minor,163851,163851
Darmstadt,49.8722,8.6528,Germany,DE,Hesse,minor,159631,159631
Solingen,51.1667,7.0833,Germany,DE,North Rhine-Westphalia,minor,159360,158957
Heidelberg,49.4167,8.7167,Germany,DE,Baden-Württemberg,minor,159245,159245
Herne,51.5500,7.2167,Germany,DE,North Rhine-Westphalia,minor,156621,156621
Neuss,51.2000,6.7000,Germany,DE,North Rhine-Westphalia,minor,153796,152731
Regensburg,49.0167,12.0833,Germany,DE,Bavaria,minor,153542,153542
Paderborn,51.7181,8.7542,Germany,DE,North Rhine-Westphalia,minor,152531,152531
Ingolstadt,48.7631,11.4250,Germany,DE,Bavaria,minor,138016,138016
Fürth,49.4667,11.0000,Germany,DE,Bavaria,minor,129122,129122
Würzburg,49.7833,9.9333,Germany,DE,Bavaria,minor,127880,126933
Ulm,48.4000,9.9833,Germany,DE,Baden-Württemberg,minor,126949,126949
Heilbronn,49.1500,9.2167,Germany,DE,Baden-Württemberg,minor,126458,125613
Pforzheim,48.8950,8.7050,Germany,DE,Baden-Württemberg,minor,126016,125529
Wolfsburg,52.4231,10.7872,Germany,DE,Lower Saxony,minor,124151,123949
Göttingen,51.5339,9.9356,Germany,DE,Lower Saxony,minor,119801,116557
Bottrop,51.5247,6.9228,Germany,DE,North Rhine-Westphalia,minor,117383,117311
Reutlingen,48.4833,9.2167,Germany,DE,Baden-Württemberg,minor,116456,116456
Koblenz,50.3597,7.5978,Germany,DE,Rhineland-Palatinate,minor,114024,113638
Bremerhaven,53.5500,8.5833,Germany,DE,Bremen,,113634,113173
Erlangen,49.5833,11.0167,Germany,DE,Bavaria,minor,113292,113292
Recklinghausen,51.5850,7.1619,Germany,DE,North Rhine-Westphalia,minor,112267,110714
Bergisch Gladbach,50.9918,7.1303,Germany,DE,North Rhine-Westphalia,minor,111966,111645
Remscheid,51.1833,7.2000,Germany,DE,North Rhine-Westphalia,minor,111770,111770
Jena,50.9272,11.5861,Germany,DE,Thuringia,minor,111407,110502
Trier,49.7567,6.6414,Germany,DE,Rhineland-Palatinate,minor,110636,110570
Salzgitter,52.1500,10.3333,Germany,DE,Lower Saxony,minor,104948,103694
Moers,51.4592,6.6197,Germany,DE,North Rhine-Westphalia,,103725,103725
Siegen,50.8833,8.0167,Germany,DE,North Rhine-Westphalia,minor,102836,101516
Hildesheim,52.1500,9.9500,Germany,DE,Lower Saxony,minor,101990,100319
Gütersloh,51.9000,8.3833,Germany,DE,North Rhine-Westphalia,minor,101158,101158
Kaiserslautern,49.4447,7.7689,Germany,DE,Rhineland-Palatinate,minor,100030,99292
Cottbus,51.7606,14.3342,Germany,DE,Brandenburg,minor,98693,98359
Hanau,50.1328,8.9169,Germany,DE,Hesse,minor,98502,98502
Witten,51.4333,7.3333,Germany,DE,North Rhine-Westphalia,,96563,95107
Schwerin,53.6333,11.4167,Germany,DE,Mecklenburg-Western Pomerania,admin,95818,95740
Gera,50.8806,12.0833,Germany,DE,Thuringia,minor,94152,91368
Esslingen,48.7333,9.3167,Germany,DE,Baden-Württemberg,minor,93542,92640
Ludwigsburg,48.8975,9.1922,Germany,DE,Baden-Württemberg,minor,93499,93117
Iserlohn,51.3833,7.6667,Germany,DE,North Rhine-Westphalia,,92666,91873
Tübingen,48.5200,9.0556,Germany,DE,Baden-Württemberg,minor,91877,91877
Düren,50.8000,6.4833,Germany,DE,North Rhine-Westphalia,minor,91814,91814
Gießen,50.5833,8.6667,Germany,DE,Hesse,minor,91255,91255
Flensburg,54.7819,9.4367,Germany,DE,Schleswig-Holstein,minor,91113,91113
Zwickau,50.7167,12.5000,Germany,DE,Saxony,minor,89540,87194
Ratingen,51.3000,6.8500,Germany,DE,North Rhine-Westphalia,,87297,86424
Villingen-Schwenningen,48.0603,8.4586,Germany,DE,Baden-Württemberg,minor,86475,86475
Lünen,51.6167,7.5167,Germany,DE,North Rhine-Westphalia,,86348,85721
Konstanz,47.6667,9.1833,Germany,DE,Baden-Württemberg,,84760,84736
Marl,51.6667,7.1167,Germany,DE,North Rhine-Westphalia,,83941,83697
Worms,49.6319,8.3653,Germany,DE,Rhineland-Palatinate,minor,83850,83850
Velbert,51.3333,7.0500,Germany,DE,North Rhine-Westphalia,,81984,81593
Minden,52.2883,8.9167,Germany,DE,North Rhine-Westphalia,minor,81857,81857
Dessau-Roßlau,51.8333,12.2333,Germany,DE,Saxony-Anhalt,minor,81237,81237
Norderstedt,53.7064,10.0103,Germany,DE,Schleswig-Holstein,,80420,80420
Neumünster,54.0714,9.9900,Germany,DE,Schleswig-Holstein,minor,79496,79496
Mosigkau,51.8333,12.2333,Germany,DE,Saxony-Anhalt,,78731,78731
Bamberg,49.8914,10.8869,Germany,DE,Bavaria,minor,77749,77749
Delmenhorst,53.0506,8.6317,Germany,DE,Lower Saxony,minor,77607,77522
Viersen,51.2561,6.3972,Germany,DE,North Rhine-Westphalia,minor,77523,77523
Rheine,52.2833,7.4333,Germany,DE,North Rhine-Westphalia,,76948,76948
Marburg,50.8100,8.7708,Germany,DE,Hesse,minor,76851,76571
Gladbeck,51.5667,6.9667,Germany,DE,North Rhine-Westphalia,,75687,75343
Lüneburg,53.2525,10.4144,Germany,DE,Lower Saxony,minor,75599,75599
Troisdorf,50.8161,7.1556,Germany,DE,North Rhine-Westphalia,,75222,75222
Wilhelmshaven,53.5286,8.1056,Germany,DE,Lower Saxony,minor,75189,75027
Dorsten,51.6600,6.9642,Germany,DE,North Rhine-Westphalia,,74736,74551
Bayreuth,49.9481,11.5783,Germany,DE,Bavaria,minor,74657,73909
Detmold,51.9378,8.8833,Germany,DE,North Rhine-Westphalia,minor,74388,73969
Arnsberg,51.3833,8.0833,Germany,DE,North Rhine-Westphalia,,73628,73423
Castrop-Rauxel,51.5500,7.3167,Germany,DE,North Rhine-Westphalia,,73425,73078
Landshut,48.5397,12.1508,Germany,DE,Bavaria,minor,73150,73150
Lüdenscheid,51.2167,7.6333,Germany,DE,North Rhine-Westphalia,minor,72611,71230
Brandenburg,52.4167,12.5333,Germany,DE,Brandenburg,minor,72461,72461
Aschaffenburg,49.9667,9.1500,Germany,DE,Bavaria,minor,71381,71381
Bocholt,51.8333,6.6167,Germany,DE,North Rhine-Westphalia,,71099,71074
Celle,52.6256,10.0825,Germany,DE,Lower Saxony,minor,69602,69279
Kempten,47.7333,10.3167,Germany,DE,Bavaria,minor,69053,69053
Fulda,50.5508,9.6753,Germany,DE,Hesse,minor,68586,68462
Aalen,48.8333,10.1000,Germany,DE,Baden-Württemberg,minor,68361,68351
Lippstadt,51.6667,8.3500,Germany,DE,North Rhine-Westphalia,,68007,68007
Dinslaken,51.5667,6.7333,Germany,DE,North Rhine-Westphalia,,67525,67114
Herford,52.1333,8.6833,Germany,DE,North Rhine-Westphalia,minor,66608,66551
Kerpen,50.8719,6.6961,Germany,DE,North Rhine-Westphalia,,66294,66294
Rüsselsheim,49.9950,8.4119,Germany,DE,Hesse,,66125,66125
Weimar,50.9833,11.3167,Germany,DE,Thuringia,minor,65138,65138
Neuwied,50.4286,7.4614,Germany,DE,Rhineland-Palatinate,minor,65137,65137
Sindelfingen,48.7133,9.0028,Germany,DE,Baden-Württemberg,,64858,64151
Plauen,50.4833,12.1167,Germany,DE,Saxony,minor,64660,64660
Dormagen,51.1000,6.8167,Germany,DE,North Rhine-Westphalia,,64553,64553
Neubrandenburg,53.5569,13.2611,Germany,DE,Mecklenburg-Western Pomerania,minor,64086,63043
Grevenbroich,51.0883,6.5875,Germany,DE,North Rhine-Westphalia,,63922,63922
Rosenheim,47.8500,12.1333,Germany,DE,Bavaria,minor,63508,63508
Herten,51.6000,7.1333,Germany,DE,North Rhine-Westphalia,,61910,61910
Bergheim,50.9667,6.6500,Germany,DE,North Rhine-Westphalia,minor,61807,61807
Friedrichshafen,47.6500,9.4833,Germany,DE,Baden-Württemberg,,61561,61561
Schwäbisch Gmünd,48.8000,9.8000,Germany,DE,Baden-Württemberg,,61333,61333
Offenburg,48.4667,7.9333,Germany,DE,Baden-Württemberg,minor,60857,60857
Garbsen,52.4183,9.5981,Germany,DE,Lower Saxony,,60754,60711
Wesel,51.6586,6.6178,Germany,DE,North Rhine-Westphalia,minor,60688,60688
Hürth,50.8775,6.8761,Germany,DE,North Rhine-Westphalia,,60189,60034
Neu-Ulm,48.3833,10.0000,Germany,DE,Bavaria,minor,59814,59814
Greifswald,54.0833,13.3833,Germany,DE,Mecklenburg-Western Pomerania,minor,59382,59332
Langenfeld,51.1167,6.9500,Germany,DE,North Rhine-Westphalia,,59223,59223
Stralsund,54.3092,13.0819,Germany,DE,Mecklenburg-Western Pomerania,minor,59205,59171
Unna,51.5347,7.6889,Germany,DE,North Rhine-Westphalia,minor,58911,58911
Euskirchen,50.6597,6.7917,Germany,DE,North Rhine-Westphalia,minor,58754,58754
Göppingen,48.7025,9.6528,Germany,DE,Baden-Württemberg,minor,58061,58061
